student_country,days_on_platform,minutes_watched,courses_started,practice_exams_started,practice_exams_passed,minutes_spent_on_exams,purchased
828,47.0,67,4.0,1,2,0,0.75,0
842,157.0,1,76.5,1,1,0,2.8,1
844,123.0,63,4.4,1,1,0,4.03,0
852,94.0,132,229.6,2,1,0,3.68,0
858,126.0,62,14.3,1,1,0,2.68,0
863,157.0,62,21.9,1,1,0,3.17,0
895,71.0,61,117.9,1,1,0,1.98,0
899,71.0,63,42.6,1,1,0,3.25,0
909,69.0,59,55.6,1,1,0,2.87,0
924,54.0,56,42.8,1,1,0,3.02,0
927,47.0,62,97.8,2,1,0,1.43,0
930,48.0,56,43.7,1,1,0,3.48,0
963,157.0,37,188.3,2,1,0,3.75,1
982,69.0,73,49.8,2,1,0,3.95,0
997,71.0,50,41.1,1,1,0,3.87,0
1020,157.0,45,43.4,1,1,0,0.67,0
1022,39.0,65,9.9,2,1,0,3.02,0
1025,119.0,55,33.6,1,1,0,2.7,0
1026,157.0,0,65.9,1,1,0,3.48,1
1064,27.0,42,42.6,1,1,0,2.3,0
1081,15.0,36,62.8,1,1,0,0.27,0
1083,15.0,36,51.1,1,1,0,0.25,0
1090,15.0,126,6.2,1,1,0,0.28,0
1144,71.0,29,12.5,1,1,0,2.0,0
1145,166.0,56,38.9,1,1,0,2.17,0
1153,114.0,28,0.5,1,1,0,3.12,0
1156,71.0,32,36.8,1,1,0,1.43,0
1159,94.0,0,20.5,1,1,0,3.82,1
1161,52.0,0,14.9,1,1,0,3.23,1
1171,52.0,32,52.8,1,1,0,2.22,0
1174,71.0,26,3.1,1,1,0,2.9,0
1178,38.0,53,41.0,1,1,0,1.33,0
1202,60.0,23,3.4,1,1,0,0.12,0
1208,71.0,23,35.3,1,2,0,1.95,0
1222,39.0,0,42.8,1,1,0,2.87,1
1234,116.0,66,80.9,2,1,0,1.63,0
1254,122.0,22,2.7,1,1,0,0.45,0
1255,71.0,21,42.9,2,1,0,3.6,0
1272,130.0,17,109.5,2,1,0,3.28,0
1299,162.0,14,40.8,1,1,0,3.83,0
1315,54.0,14,130.2,2,1,0,2.23,0
1340,157.0,15,66.0,1,1,0,1.82,0
1349,21.0,10,41.1,1,1,0,2.37,0
1370,15.0,8,9.5,1,2,0,0.79,0
1387,71.0,10,46.7,1,1,0,2.83,0
1389,150.0,6,1.7,1,1,0,3.98,0
1409,47.0,10,0.8,1,1,0,0.35,0
1414,71.0,23,74.3,1,1,0,2.12,0
1428,15.0,3,13.3,1,1,0,0.28,0
1429,6.0,4,42.0,1,1,0,3.75,0
1437,71.0,4,43.7,1,1,0,3.8,0
1447,27.0,1,31.6,1,1,0,0.83,0
1471,71.0,0,11.9,1,1,0,0.93,0
1482,71.0,292,0.3,1,0,0,0.0,0
1483,157.0,0,62.6,1,0,0,0.0,1
1484,12.0,292,14.2,1,0,0,0.0,0
1485,157.0,292,1.8,1,0,0,0.0,0
1486,68.0,292,53.3,1,0,0,0.0,0
1487,71.0,292,3.2,1,0,0,0.0,0
1488,44.0,292,41.9,2,0,0,0.0,0
1489,71.0,292,2.2,1,0,0,0.0,0
1490,49.0,292,2.1,1,0,0,0.0,0
1491,71.0,292,8.8,2,0,0,0.0,0
1492,47.0,292,29.0,1,0,0,0.0,0
1493,79.0,292,0.8,1,0,0,0.0,0
1494,71.0,292,0.4,1,0,0,0.0,0
1495,71.0,2,12.8,1,0,0,0.0,1
1496,48.0,292,6.6,1,0,0,0.0,0
1497,71.0,8,50.0,2,0,0,0.0,1
1498,157.0,292,1.3,1,0,0,0.0,0
1499,34.0,292,0.3,1,0,0,0.0,0
1500,71.0,292,0.3,1,0,0,0.0,0
1501,71.0,292,0.4,1,0,0,0.0,0
1502,21.0,292,12.5,1,0,0,0.0,0
1503,25.0,292,0.9,1,0,0,0.0,0
1504,137.0,292,0.1,1,0,0,0.0,0
1505,71.0,63,71.2,2,0,0,0.0,1
1506,71.0,292,1.3,1,0,0,0.0,0
1507,54.0,292,21.9,1,0,0,0.0,0
1508,68.0,292,35.7,1,0,0,0.0,0
1509,134.0,292,42.1,1,0,0,0.0,0
1510,78.0,292,0.6,1,0,0,0.0,0
1512,157.0,292,6.9,1,0,0,0.0,0
1513,132.0,292,0.1,1,0,0,0.0,0
1514,71.0,292,12.0,1,0,0,0.0,0
1515,66.0,292,6.6,1,0,0,0.0,0
1516,134.0,292,0.1,1,0,0,0.0,0
1517,54.0,292,0.2,1,0,0,0.0,0
1518,9.0,292,0.8,1,0,0,0.0,0
1519,124.0,292,12.2,1,0,0,0.0,0
1520,71.0,292,21.6,1,0,0,0.0,0
1521,114.0,0,40.5,1,0,0,0.0,1
1522,27.0,0,67.5,1,0,0,0.0,1
1523,162.0,292,1.2,1,0,0,0.0,0
1525,27.0,292,2.2,1,0,0,0.0,0
1526,35.0,292,63.8,1,0,0,0.0,0
1527,52.0,292,73.6,1,0,0,0.0,0
1528,93.0,292,1.2,1,0,0,0.0,0
1529,132.0,292,73.2,2,0,0,0.0,0
1530,47.0,292,1.9,1,0,0,0.0,0
1531,157.0,292,0.5,1,0,0,0.0,0
1532,47.0,292,0.3,1,0,0,0.0,0
1533,95.0,292,61.7,1,0,0,0.0,0
1534,134.0,292,0.1,1,0,0,0.0,0
1535,54.0,292,0.7,1,0,0,0.0,0
1536,132.0,292,1.2,1,0,0,0.0,0
1538,0.0,292,25.3,1,0,0,0.0,0
1539,157.0,292,62.0,1,0,0,0.0,0
1540,47.0,292,11.2,1,0,0,0.0,0
1541,5.0,292,0.1,1,0,0,0.0,0
1542,112.0,292,18.9,1,0,0,0.0,0
1543,157.0,292,9.3,1,0,0,0.0,0
1545,112.0,292,3.6,1,0,0,0.0,0
1547,47.0,292,12.3,1,0,0,0.0,0
1548,157.0,0,15.0,1,0,0,0.0,1
1549,47.0,291,6.6,1,0,0,0.0,0
1550,71.0,291,15.5,2,0,0,0.0,0
1552,87.0,291,2.8,1,0,0,0.0,0
1553,134.0,291,40.6,1,0,0,0.0,0
1554,157.0,291,6.6,1,0,0,0.0,0
1555,122.0,291,65.3,1,0,0,0.0,0
1556,157.0,2,69.0,1,0,0,0.0,1
1558,68.0,291,6.7,1,0,0,0.0,0
1559,71.0,291,5.7,1,0,0,0.0,0
1560,157.0,291,43.8,1,0,0,0.0,0
1561,134.0,48,32.9,1,0,0,0.0,1
1562,157.0,291,5.8,1,0,0,0.0,0
1563,71.0,291,25.5,2,0,0,0.0,0
1564,157.0,291,10.8,1,0,0,0.0,0
1565,39.0,291,11.1,2,0,0,0.0,0
1566,71.0,291,0.1,1,0,0,0.0,0
1568,72.0,291,3.4,1,0,0,0.0,0
1569,0.0,1,93.3,1,0,0,0.0,1
1570,71.0,88,14.8,1,0,0,0.0,1
1571,166.0,291,3.6,1,0,0,0.0,0
1572,71.0,291,0.1,1,0,0,0.0,0
1573,34.0,291,3.4,1,0,0,0.0,0
1574,47.0,291,0.1,1,0,0,0.0,0
1575,71.0,291,1.5,1,0,0,0.0,0
1576,114.0,291,2.8,1,0,0,0.0,0
1577,157.0,291,5.2,1,0,0,0.0,0
1578,58.0,291,33.9,1,0,0,0.0,0
1579,70.0,7,77.8,1,0,0,0.0,1
1580,157.0,291,20.3,1,0,0,0.0,0
1581,134.0,291,20.9,1,0,0,0.0,0
1582,134.0,291,1.5,2,0,0,0.0,0
1583,108.0,6,0.1,1,0,0,0.0,1
1584,148.0,291,0.1,1,0,0,0.0,0
1585,39.0,0,19.8,1,0,0,0.0,1
1586,48.0,291,0.3,1,0,0,0.0,0
1587,71.0,291,0.3,1,0,0,0.0,0
1588,94.0,291,5.6,1,0,0,0.0,0
1589,134.0,291,0.3,1,0,0,0.0,0
1590,54.0,291,95.1,1,0,0,0.0,0
1591,134.0,291,39.2,1,0,0,0.0,0
1592,112.0,291,8.4,1,0,0,0.0,0
1593,134.0,291,0.3,1,0,0,0.0,0
1594,71.0,291,0.5,1,0,0,0.0,0
1595,134.0,291,57.3,1,0,0,0.0,0
1596,0.0,291,7.9,1,0,0,0.0,0
1597,134.0,291,52.3,1,0,0,0.0,0
1599,157.0,291,1.1,1,0,0,0.0,0
1601,134.0,291,61.8,1,0,0,0.0,0
1602,52.0,291,2.4,1,0,0,0.0,0
1603,134.0,291,149.5,1,0,0,0.0,0
1604,47.0,291,1.1,1,0,0,0.0,0
1605,71.0,291,0.7,1,0,0,0.0,0
1606,155.0,291,5.8,1,0,0,0.0,0
1607,134.0,291,1.2,1,0,0,0.0,0
1608,47.0,291,27.0,2,0,0,0.0,0
1609,54.0,291,2.3,1,0,0,0.0,0
1610,54.0,2,64.4,1,0,0,0.0,1
1611,134.0,2,95.8,1,0,0,0.0,1
1612,94.0,291,10.4,1,0,0,0.0,0
1613,109.0,291,30.7,1,0,0,0.0,0
1614,47.0,291,3.3,1,0,0,0.0,0
1615,112.0,291,34.3,1,0,0,0.0,0
1616,72.0,291,1.1,1,0,0,0.0,0
1617,47.0,291,6.5,1,0,0,0.0,0
1618,157.0,0,72.0,1,0,0,0.0,1
1619,47.0,291,0.1,1,0,0,0.0,0
1620,27.0,291,0.2,1,0,0,0.0,0
1621,35.0,291,11.0,1,0,0,0.0,0
1622,6.0,291,2.2,1,0,0,0.0,0
1623,123.0,291,141.2,1,0,0,0.0,0
1624,27.0,291,27.2,1,0,0,0.0,0
1625,50.0,291,0.6,1,0,0,0.0,0
1626,157.0,291,0.4,1,0,0,0.0,0
1627,71.0,290,2.0,1,0,0,0.0,0
1628,27.0,290,0.5,1,0,0,0.0,0
1629,71.0,290,8.4,1,0,0,0.0,0
1630,21.0,290,1.2,1,0,0,0.0,0
1631,7.0,290,4.3,1,0,0,0.0,0
1632,157.0,290,30.2,1,0,0,0.0,0
1633,157.0,290,9.5,1,0,0,0.0,0
1634,157.0,290,4.7,1,0,0,0.0,0
1635,71.0,290,0.4,1,0,0,0.0,0
1636,137.0,290,59.8,1,0,0,0.0,0
1637,134.0,290,46.6,2,0,0,0.0,0
1638,141.0,290,1.0,1,0,0,0.0,0
1639,61.0,290,53.6,1,0,0,0.0,0
1640,134.0,290,1.8,1,0,0,0.0,0
1641,71.0,290,10.2,1,0,0,0.0,0
1642,134.0,290,0.9,1,0,0,0.0,0
1643,71.0,290,0.2,1,0,0,0.0,0
1645,118.0,290,17.0,2,0,0,0.0,0
1646,71.0,290,0.9,1,0,0,0.0,0
1647,71.0,290,5.3,1,0,0,0.0,0
1648,71.0,290,86.5,2,0,0,0.0,0
1649,71.0,290,10.0,1,0,0,0.0,0
1650,47.0,290,99.1,2,0,0,0.0,0
1651,71.0,290,0.1,1,0,0,0.0,0
1652,67.0,290,12.2,1,0,0,0.0,0
1653,71.0,290,20.1,1,0,0,0.0,0
1654,157.0,290,1.1,1,0,0,0.0,0
1655,7.0,290,1.9,2,0,0,0.0,0
1656,123.0,290,0.2,1,0,0,0.0,0
1657,71.0,290,13.7,1,0,0,0.0,0
1658,94.0,290,0.7,1,0,0,0.0,0
1660,54.0,0,60.2,1,0,0,0.0,1
1661,71.0,290,28.1,2,0,0,0.0,0
1662,157.0,290,68.6,2,0,0,0.0,0
1663,94.0,290,0.4,1,0,0,0.0,0
1664,142.0,290,2.0,1,0,0,0.0,0
1665,112.0,290,0.7,1,0,0,0.0,0
1666,13.0,290,37.9,1,0,0,0.0,0
1667,166.0,290,98.1,2,0,0,0.0,0
1668,71.0,290,60.0,1,0,0,0.0,0
1669,71.0,290,66.0,2,0,0,0.0,0
1670,71.0,290,5.6,1,0,0,0.0,0
1671,133.0,290,4.9,1,0,0,0.0,0
1672,157.0,290,2.1,1,0,0,0.0,0
1674,133.0,290,2.4,1,0,0,0.0,0
1675,136.0,290,13.6,1,0,0,0.0,0
1676,27.0,290,6.0,1,0,0,0.0,0
1677,57.0,290,12.6,1,0,0,0.0,0
1678,123.0,290,24.2,2,0,0,0.0,0
1679,85.0,290,3.0,1,0,0,0.0,0
1680,9.0,290,0.3,1,0,0,0.0,0
1681,71.0,290,3.3,1,0,0,0.0,0
1682,94.0,290,38.2,1,0,0,0.0,0
1683,114.0,290,0.2,1,0,0,0.0,0
1684,150.0,290,10.7,1,0,0,0.0,0
1686,47.0,290,2.4,1,0,0,0.0,0
1687,47.0,290,0.5,1,0,0,0.0,0
1688,168.0,290,1.0,1,0,0,0.0,0
1689,47.0,290,0.7,1,0,0,0.0,0
1690,76.0,290,0.2,1,0,0,0.0,0
1691,133.0,290,10.5,1,0,0,0.0,0
1692,157.0,289,1.2,1,0,0,0.0,0
1693,157.0,21,94.9,2,0,0,0.0,1
1694,71.0,289,7.4,1,0,0,0.0,0
1695,27.0,3,215.2,1,0,0,0.0,1
1696,71.0,289,44.4,1,0,0,0.0,0
1698,71.0,289,0.1,1,0,0,0.0,0
1699,71.0,289,18.3,1,0,0,0.0,0
1700,71.0,289,0.1,1,0,0,0.0,0
1701,68.0,289,9.5,1,0,0,0.0,0
1702,71.0,289,4.3,1,0,0,0.0,0
1703,157.0,195,12.6,1,0,0,0.0,1
1704,5.0,289,1.0,1,0,0,0.0,0
1705,48.0,289,0.4,1,0,0,0.0,0
1706,123.0,289,32.2,1,0,0,0.0,0
1707,27.0,289,3.2,1,0,0,0.0,0
1709,71.0,289,19.4,1,0,0,0.0,0
1710,71.0,289,2.0,1,0,0,0.0,0
1711,112.0,289,15.7,1,0,0,0.0,0
1712,47.0,289,0.3,1,0,0,0.0,0
1713,123.0,289,9.8,1,0,0,0.0,0
1714,71.0,289,1.0,1,0,0,0.0,0
1715,48.0,0,28.3,1,0,0,0.0,1
1716,27.0,289,43.6,1,0,0,0.0,0
1717,122.0,289,44.9,2,0,0,0.0,0
1718,7.0,289,1.4,1,0,0,0.0,0
1719,162.0,289,0.2,1,0,0,0.0,0
1720,71.0,289,8.2,1,0,0,0.0,0
1721,71.0,289,0.1,1,0,0,0.0,0
1722,12.0,289,0.7,1,0,0,0.0,0
1723,79.0,289,0.6,1,0,0,0.0,0
1725,157.0,289,0.1,1,0,0,0.0,0
1726,139.0,289,34.7,1,0,0,0.0,0
1727,117.0,289,68.8,1,0,0,0.0,0
1728,12.0,289,51.3,1,0,0,0.0,0
1729,137.0,289,2.6,1,0,0,0.0,0
1730,5.0,289,9.2,1,0,0,0.0,0
1731,47.0,289,110.0,1,0,0,0.0,0
1732,157.0,289,30.9,1,0,0,0.0,0
1733,0.0,289,75.2,1,0,0,0.0,0
1734,71.0,289,6.5,1,0,0,0.0,0
1736,157.0,0,20.5,1,0,0,0.0,1
1737,54.0,4,65.4,1,0,0,0.0,1
1738,114.0,289,16.6,2,0,0,0.0,0
1739,157.0,7,0.3,1,0,0,0.0,1
1740,115.0,289,64.5,1,0,0,0.0,0
1741,47.0,289,10.8,1,0,0,0.0,0
1742,54.0,289,11.5,1,0,0,0.0,0
1743,136.0,1,178.2,1,0,0,0.0,1
1744,159.0,289,24.1,1,0,0,0.0,0
1745,114.0,289,13.1,2,0,0,0.0,0
1746,157.0,0,27.3,1,0,0,0.0,1
1747,157.0,289,0.6,1,0,0,0.0,0
1748,21.0,289,0.5,1,0,0,0.0,0
1749,157.0,289,19.2,1,0,0,0.0,0
1750,134.0,289,22.5,2,0,0,0.0,0
1751,7.0,5,126.1,2,0,0,0.0,1
1752,68.0,289,143.5,2,0,0,0.0,0
1753,71.0,289,1.1,1,0,0,0.0,0
1754,71.0,289,35.4,1,0,0,0.0,0
1756,112.0,288,1.9,1,0,0,0.0,0
1757,157.0,288,6.6,1,0,0,0.0,0
1758,27.0,21,119.2,1,0,0,0.0,1
1759,54.0,0,117.4,1,0,0,0.0,1
1760,137.0,288,0.3,1,0,0,0.0,0
1761,7.0,288,3.2,1,0,0,0.0,0
1762,157.0,288,0.3,1,0,0,0.0,0
1763,109.0,288,0.6,1,0,0,0.0,0
1764,157.0,288,0.2,1,0,0,0.0,0
1765,79.0,288,24.8,1,0,0,0.0,0
1766,157.0,288,102.1,1,0,0,0.0,0
1767,83.0,288,0.1,1,0,0,0.0,0
1768,123.0,288,43.8,1,0,0,0.0,0
1769,71.0,288,0.1,1,0,0,0.0,0
1770,71.0,288,2.9,1,0,0,0.0,0
1771,12.0,288,63.2,1,0,0,0.0,0
1772,71.0,288,1.1,2,0,0,0.0,0
1773,114.0,288,15.4,1,0,0,0.0,0
1774,71.0,288,0.1,1,0,0,0.0,0
1775,112.0,288,11.0,1,0,0,0.0,0
1776,157.0,288,8.8,1,0,0,0.0,0
1777,31.0,288,13.0,1,0,0,0.0,0
1778,71.0,288,1.7,1,0,0,0.0,0
1780,71.0,288,1.6,1,0,0,0.0,0
1781,157.0,288,72.4,2,0,0,0.0,0
1782,47.0,288,0.1,1,0,0,0.0,0
1783,74.0,288,8.1,1,0,0,0.0,0
1784,78.0,288,3.1,1,0,0,0.0,0
1785,110.0,288,41.9,1,0,0,0.0,0
1786,71.0,288,0.4,1,0,0,0.0,0
1787,71.0,288,68.4,1,0,0,0.0,0
1788,71.0,288,0.3,1,0,0,0.0,0
1789,123.0,288,1.5,1,0,0,0.0,0
1790,134.0,288,39.3,1,0,0,0.0,0
1791,157.0,288,26.4,1,0,0,0.0,0
1792,124.0,288,0.1,1,0,0,0.0,0
1793,71.0,288,1.2,1,0,0,0.0,0
1794,157.0,288,20.3,1,0,0,0.0,0
1795,112.0,288,66.9,1,0,0,0.0,0
1796,157.0,288,2.2,1,0,0,0.0,0
1797,78.0,288,0.2,1,0,0,0.0,0
1798,47.0,288,2.2,1,0,0,0.0,0
1799,12.0,288,0.2,1,0,0,0.0,0
1800,162.0,288,37.3,1,0,0,0.0,0
1801,49.0,288,72.9,1,0,0,0.0,0
1802,157.0,288,45.3,1,0,0,0.0,0
1803,47.0,288,23.5,1,0,0,0.0,0
1804,157.0,288,64.8,1,0,0,0.0,0
1806,157.0,288,2.2,1,0,0,0.0,0
1807,157.0,288,12.3,1,0,0,0.0,0
1808,157.0,288,14.3,2,0,0,0.0,0
1810,157.0,287,0.1,1,0,0,0.0,0
1811,71.0,287,2.8,2,0,0,0.0,0
1812,35.0,287,1.0,1,0,0,0.0,0
1813,27.0,287,28.4,1,0,0,0.0,0
1814,0.0,287,111.9,1,0,0,0.0,0
1815,83.0,0,20.5,1,0,0,0.0,1
1816,68.0,287,10.6,1,0,0,0.0,0
1817,7.0,287,43.3,1,0,0,0.0,0
1818,71.0,287,78.2,1,0,0,0.0,0
1819,54.0,5,55.3,1,0,0,0.0,1
1820,68.0,287,3.5,1,0,0,0.0,0
1821,157.0,287,18.2,1,0,0,0.0,0
1822,27.0,287,3.9,1,0,0,0.0,0
1823,7.0,287,0.1,1,0,0,0.0,0
1824,157.0,287,92.1,1,0,0,0.0,0
1825,157.0,287,27.8,1,0,0,0.0,0
1826,78.0,0,142.4,1,0,0,0.0,1
1827,71.0,287,55.6,1,0,0,0.0,0
1828,112.0,287,0.1,1,0,0,0.0,0
1829,162.0,287,0.1,1,0,0,0.0,0
1830,81.0,287,14.8,1,0,0,0.0,0
1831,157.0,287,0.5,1,0,0,0.0,0
1832,71.0,287,0.8,1,0,0,0.0,0
1833,71.0,287,9.7,1,0,0,0.0,0
1834,116.0,287,56.6,1,0,0,0.0,0
1835,47.0,287,0.1,1,0,0,0.0,0
1836,71.0,287,32.3,1,0,0,0.0,0
1837,54.0,4,17.4,1,0,0,0.0,1
1839,114.0,3,20.6,1,0,0,0.0,1
1840,150.0,287,1.2,1,0,0,0.0,0
1841,134.0,287,25.6,2,0,0,0.0,0
1842,71.0,287,0.1,1,0,0,0.0,0
1844,12.0,15,24.6,1,0,0,0.0,1
1845,71.0,287,0.1,1,0,0,0.0,0
1846,70.0,287,0.1,1,0,0,0.0,0
1847,27.0,195,10.7,1,0,0,0.0,1
1848,54.0,287,73.6,1,0,0,0.0,0
1849,124.0,287,0.9,1,0,0,0.0,0
1850,71.0,287,44.8,1,0,0,0.0,0
1851,21.0,287,1.1,1,0,0,0.0,0
1852,0.0,18,46.8,1,0,0,0.0,1
1853,34.0,287,2.4,1,0,0,0.0,0
1854,142.0,287,5.0,1,0,0,0.0,0
1855,71.0,287,0.1,1,0,0,0.0,0
1856,162.0,287,7.3,1,0,0,0.0,0
1857,39.0,3,109.6,1,0,0,0.0,1
1858,27.0,6,202.4,1,0,0,0.0,1
1859,71.0,287,0.1,1,0,0,0.0,0
1860,157.0,1,117.5,1,0,0,0.0,1
1861,150.0,287,9.7,1,0,0,0.0,0
1862,157.0,287,1.8,1,0,0,0.0,0
1863,35.0,287,2.3,1,0,0,0.0,0
1864,54.0,287,39.3,2,0,0,0.0,0
1866,44.0,287,3.0,1,0,0,0.0,0
1867,157.0,19,121.8,1,0,0,0.0,1
1869,135.0,287,7.5,1,0,0,0.0,0
1870,123.0,287,1.1,1,0,0,0.0,0
1871,151.0,287,0.2,1,0,0,0.0,0
1872,47.0,287,2.1,1,0,0,0.0,0
1873,157.0,80,124.4,1,0,0,0.0,1
1874,157.0,0,1.2,1,0,0,0.0,1
1875,39.0,287,0.3,1,0,0,0.0,0
1876,47.0,287,0.3,1,0,0,0.0,0
1877,74.0,287,0.8,1,0,0,0.0,0
1878,157.0,287,2.2,1,0,0,0.0,0
1879,157.0,286,0.3,1,0,0,0.0,0
1880,27.0,286,22.2,1,0,0,0.0,0
1881,71.0,286,13.4,1,0,0,0.0,0
1882,157.0,286,38.9,1,0,0,0.0,0
1883,7.0,3,59.4,1,0,0,0.0,1
1884,71.0,286,17.2,1,0,0,0.0,0
1885,54.0,286,0.4,1,0,0,0.0,0
1886,116.0,286,7.4,1,0,0,0.0,0
1887,147.0,286,1.9,1,0,0,0.0,0
1888,114.0,286,17.2,1,0,0,0.0,0
1889,71.0,286,9.7,1,0,0,0.0,0
1890,39.0,286,5.4,1,0,0,0.0,0
1891,47.0,286,1.3,1,0,0,0.0,0
1893,159.0,286,3.9,1,0,0,0.0,0
1894,112.0,286,17.3,1,0,0,0.0,0
1895,12.0,286,12.8,1,0,0,0.0,0
1896,79.0,286,20.2,2,0,0,0.0,0
1897,71.0,286,61.9,1,0,0,0.0,0
1898,79.0,286,1.0,1,0,0,0.0,0
1899,47.0,286,0.5,1,0,0,0.0,0
1900,71.0,286,20.7,1,0,0,0.0,0
1901,120.0,286,0.1,1,0,0,0.0,0
1902,151.0,286,0.5,1,0,0,0.0,0
1903,54.0,286,0.4,1,0,0,0.0,0
1904,162.0,286,118.2,1,0,0,0.0,0
1905,47.0,286,0.1,1,0,0,0.0,0
1906,71.0,286,1.5,1,0,0,0.0,0
1907,71.0,286,72.6,1,0,0,0.0,0
1908,71.0,286,1.9,1,0,0,0.0,0
1909,68.0,286,13.7,1,0,0,0.0,0
1910,47.0,286,2.7,2,0,0,0.0,0
1911,78.0,286,2.4,1,0,0,0.0,0
1912,21.0,286,0.1,1,0,0,0.0,0
1913,70.0,286,0.2,1,0,0,0.0,0
1914,71.0,286,14.5,2,0,0,0.0,0
1915,157.0,286,22.8,1,0,0,0.0,0
1916,157.0,0,24.1,1,0,0,0.0,1
1917,155.0,286,1.4,1,0,0,0.0,0
1918,71.0,286,47.6,2,0,0,0.0,0
1919,71.0,286,82.7,1,0,0,0.0,0
1920,27.0,286,8.0,1,0,0,0.0,0
1921,71.0,286,13.8,1,0,0,0.0,0
1922,9.0,286,0.2,1,0,0,0.0,0
1923,141.0,286,43.4,1,0,0,0.0,0
1924,157.0,0,12.5,1,0,0,0.0,1
1925,157.0,286,3.6,1,0,0,0.0,0
1926,157.0,286,22.5,1,0,0,0.0,0
1927,157.0,286,8.8,1,0,0,0.0,0
1928,123.0,286,2.3,1,0,0,0.0,0
1929,40.0,286,4.4,1,0,0,0.0,0
1930,157.0,286,69.8,1,0,0,0.0,0
1931,13.0,286,76.9,2,0,0,0.0,0
1932,134.0,286,24.0,1,0,0,0.0,0
1934,47.0,285,21.9,1,0,0,0.0,0
1935,57.0,285,6.6,1,0,0,0.0,0
1936,157.0,2,102.6,1,0,0,0.0,1
1937,162.0,285,0.3,1,0,0,0.0,0
1938,71.0,285,2.0,1,0,0,0.0,0
1939,71.0,285,1.3,1,0,0,0.0,0
1940,71.0,285,2.2,1,0,0,0.0,0
1941,157.0,285,5.6,1,0,0,0.0,0
1942,157.0,285,19.7,1,0,0,0.0,0
1943,134.0,285,1.8,1,0,0,0.0,0
1944,71.0,285,99.0,1,0,0,0.0,0
1945,7.0,285,68.6,1,0,0,0.0,0
1946,54.0,285,72.1,1,0,0,0.0,0
1947,7.0,0,5.5,1,0,0,0.0,1
1948,114.0,285,45.7,1,0,0,0.0,0
1949,71.0,285,0.4,1,0,0,0.0,0
1950,134.0,3,1.2,1,0,0,0.0,1
1951,71.0,285,31.2,1,0,0,0.0,0
1952,47.0,285,23.8,1,0,0,0.0,0
1953,57.0,285,19.7,1,0,0,0.0,0
1954,39.0,0,123.2,1,0,0,0.0,1
1955,162.0,285,8.8,1,0,0,0.0,0
1956,39.0,285,109.3,2,0,0,0.0,0
1957,112.0,285,0.1,1,0,0,0.0,0
1958,112.0,285,63.7,1,0,0,0.0,0
1959,47.0,285,0.3,1,0,0,0.0,0
1960,157.0,285,0.8,1,0,0,0.0,0
1961,47.0,285,120.6,2,0,0,0.0,0
1962,47.0,285,9.0,1,0,0,0.0,0
1964,162.0,285,0.1,1,0,0,0.0,0
1965,46.0,285,0.7,1,0,0,0.0,0
1966,27.0,285,7.8,2,0,0,0.0,0
